id,id_especie,id_geracao,pokemon,altura,peso,exp_base,tipo_1,tipo_2,hp,ataque,defesa,ataque_especial,defesa_especial,velocidade,cor_1,cor_2,cor_final,url_imagem,url_icone
1,1,1,bulbasaur,0.7,6.9,64,grama,venenoso,45,49,49,65,65,45,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/1.png,//cdn.bulbagarden.net/upload/e/ec/001MS.png
2,2,1,ivysaur,1,13,142,grama,venenoso,60,62,63,80,80,60,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/2.png,//cdn.bulbagarden.net/upload/6/6b/002MS.png
3,3,1,venusaur,2,100,236,grama,venenoso,80,82,83,100,100,80,#78C850,#A040A0,#81A763,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/3.png,//cdn.bulbagarden.net/upload/e/e5/003XYMS.png
4,4,1,charmander,0.6,8.5,62,fogo,NA,39,52,43,60,50,65,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/4.png,//cdn.bulbagarden.net/upload/b/bb/004MS.png
5,5,1,charmeleon,1.1,19,142,fogo,NA,58,64,58,80,65,80,#F08030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/5.png,//cdn.bulbagarden.net/upload/d/dc/005MS.png
6,6,1,charizard,1.7,90.5,240,fogo,voador,78,84,78,109,85,100,#F08030,#A890F0,#DE835E,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/6.png,//cdn.bulbagarden.net/upload/6/62/006XYMS.png
7,7,1,squirtle,0.5,9,63,água,NA,44,48,65,50,64,43,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/7.png,//cdn.bulbagarden.net/upload/9/92/007MS.png
8,8,1,wartortle,1,22.5,142,água,NA,59,63,80,65,80,58,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/8.png,//cdn.bulbagarden.net/upload/f/f3/008MS.png
9,9,1,blastoise,1.6,85.5,239,água,NA,79,83,100,85,105,78,#6890F0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/9.png,//cdn.bulbagarden.net/upload/5/59/009XYMS.png
10,10,1,caterpie,0.3,2.9,39,inseto,NA,45,30,35,20,20,45,#A8B820,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/10.png,//cdn.bulbagarden.net/upload/6/69/010MS.png
11,11,1,metapod,0.7,9.9,72,inseto,NA,50,20,55,25,25,30,#A8B820,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/11.png,//cdn.bulbagarden.net/upload/c/ce/011MS.png
12,12,1,butterfree,1.1,32,178,inseto,voador,60,45,50,90,80,70,#A8B820,#A890F0,#A8AE52,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/12.png,//cdn.bulbagarden.net/upload/1/14/012MS.png
13,13,1,weedle,0.3,3.2,39,inseto,venenoso,40,35,30,20,20,50,#A8B820,#A040A0,#A69A3F,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/13.png,//cdn.bulbagarden.net/upload/6/65/013MS.png
14,14,1,kakuna,0.6,10,72,inseto,venenoso,45,25,50,25,25,35,#A8B820,#A040A0,#A69A3F,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/14.png,//cdn.bulbagarden.net/upload/8/81/014MS.png
15,15,1,beedrill,1,29.5,178,inseto,venenoso,65,90,40,45,80,75,#A8B820,#A040A0,#A69A3F,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/15.png,//cdn.bulbagarden.net/upload/5/5a/015MS.png
16,16,1,pidgey,0.3,1.8,50,normal,voador,40,45,40,35,35,56,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/16.png,//cdn.bulbagarden.net/upload/9/9c/016MS.png
17,17,1,pidgeotto,1.1,30,122,normal,voador,63,60,55,50,50,71,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/17.png,//cdn.bulbagarden.net/upload/a/a9/017MS.png
18,18,1,pidgeot,1.5,39.5,216,normal,voador,83,80,75,70,70,101,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/18.png,//cdn.bulbagarden.net/upload/f/f3/018XYMS.png
19,19,1,rattata,0.3,3.5,51,normal,NA,30,56,35,25,35,72,#A8A878,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/19.png,//cdn.bulbagarden.net/upload/4/4d/019MS.png
20,20,1,raticate,0.7,18.5,145,normal,NA,55,81,60,50,70,97,#A8A878,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/20.png,//cdn.bulbagarden.net/upload/4/4d/020MS.png
21,21,1,spearow,0.3,2,52,normal,voador,40,60,30,31,31,70,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/21.png,//cdn.bulbagarden.net/upload/5/5b/021MS.png
22,22,1,fearow,1.2,38,155,normal,voador,65,90,65,61,61,100,#A8A878,#A890F0,#A8A295,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/22.png,//cdn.bulbagarden.net/upload/3/35/022MS.png
23,23,1,ekans,2,6.9,58,venenoso,NA,35,60,44,40,54,55,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/23.png,//cdn.bulbagarden.net/upload/0/0d/023MS.png
24,24,1,arbok,3.5,65,157,venenoso,NA,60,95,69,65,79,80,#A040A0,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/24.png,//cdn.bulbagarden.net/upload/e/e6/024XYMS.png
25,25,1,pikachu,0.4,6,112,elétrico,NA,35,55,40,50,50,90,#F8D030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/25.png,//cdn.bulbagarden.net/upload/0/0f/025MS.png
26,26,1,raichu,0.8,30,218,elétrico,NA,60,90,55,90,80,110,#F8D030,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/26.png,//cdn.bulbagarden.net/upload/d/da/026MS.png
27,27,1,sandshrew,0.6,12,60,terrestre,NA,50,75,85,20,30,40,#E0C068,NA,NA,https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/27.png,//cdn.bulbagarden.net/upload/c/c3/027MS.png
